TYPE	NUMBER	KEYWORD	ORGANIC	URL	TITLE	DESCRIPTION	PAGE	FLAG_HACKED	FLAG_HARMFUL	STAT_RESULTCOUNT
result	1	data scientist	organic	https://en.wikipedia.org/wiki/Data_science	Data science - Wikipedia	searchbusinessanalytics.techtarget.com	1	0	0	1960000
result	2	data scientist	organic	https://en.wikipedia.org/wiki/Data_science	Data science - Wikipedia		1	0	0	1960000
result	3	data scientist	organic	https://en.wikipedia.org/wiki/Data_science	Data science - Wikipedia	Data science, also known as data-driven science, is an interdisciplinary field of scientific methods, processes, algorithms and systems to extract knowledge or insights from data in various forms, either structured or unstructured, similar to data mining.	1	0	0	1960000
sitelink	1	data scientist	organic	https://en.wikipedia.org/wiki/Business_analytics	Business analytics					
sitelink	2	data scientist	organic	https://en.wikipedia.org/wiki/Information_science	Information science					
sitelink	3	data scientist	organic	https://en.wikipedia.org/wiki/Information_explosion	Information explosion					
sitelink	4	data scientist	organic	https://en.wikipedia.org/wiki/Jim_Gray_(computer_scientist)	Jim Gray					
result	4	data scientist	organic	https://blog.udacity.com/2014/11/data-science-job-skills.html	8 Skills You Need to Be a Data Scientist | Udacity	Nov 7, 2014 - Getting a job in data science is as much about finding a company whose needs match your skills as it is developing those skills.	1	0	0	1960000
result	5	data scientist	organic	https://hbr.org/2012/10/data-scientist-the-sexiest-job-of-the-21st-century	Data Scientist: The Sexiest Job of the 21st Century	Meet the people who can coax treasure out of messy, unstructured data.	1	0	0	1960000
result	6	data scientist	organic	http://searchbusinessanalytics.techtarget.com/definition/Data-scientist	What is data scientist? - Definition from WhatIs.com	The education requirements for data scientists typically include a bachelor's degree in statistics, data science, computer science or mathematics. Hard skills required for the job include data mining, machine learning and the ability to integrate structured and unstructured data.	1	0	0	1960000
result	7	data scientist	organic	http://www.mastersindatascience.org/careers/data-scientist/	How to Become a Data Scientist | Data Scientist Salary	Data scientists are big data wranglers. They take an enormous mass of messy data points (unstructured and structured) and use their formidable skills in math, statistics and programming to clean, massage and organize them.	1	0	0	1960000
result	8	data scientist	organic	https://www.sas.com/en_us/insights/analytics/what-is-a-data-scientist.html	What is a data scientist? | SAS	Why are data scientists in such high demand? Learn who they are, what they do and how they've become such a hot commodity in the tech world.	1	0	0	1960000
result	9	data scientist	organic	https://www.forbes.com/sites/gilpress/2013/05/28/a-very-short-history-of-data-science/	A Very Short History Of Data Science - Forbes	The story of how data scientists became sexy is mostly the story of the coupling of the mature discipline of statistics with a very young one--computer science. The term “Data Science” has emerged only recently to specifically designate a new profession that is expected to make sense of the vast [...]	1	0	0	1960000
