TYPE	NUMBER	KEYWORD	ORGANIC	URL	TITLE	DESCRIPTION	PAGE	FLAG_HACKED	FLAG_HARMFUL	STAT_RESULTCOUNT
result	1	epidemiology	organic	https://en.wikipedia.org/wiki/Epidemiology	Epidemiology - Wikipedia	Epidemiology is the study and analysis of the distribution (who, when, and where) and determinants of health and disease conditions in defined populations.	1	0	0	20000000
sitelink	1	epidemiology	organic	https://en.wikipedia.org/wiki/E-epidemiology	E-epidemiology					
sitelink	2	epidemiology	organic	https://en.wikipedia.org/wiki/Genetic_epidemiology	Genetic epidemiology					
sitelink	3	epidemiology	organic	https://en.wikipedia.org/wiki/Molecular_epidemiology	Molecular epidemiology					
sitelink	4	epidemiology	organic	https://en.wikipedia.org/wiki/Incidence_(epidemiology)	Incidence					
result	2	epidemiology	organic	http://www.who.int/topics/epidemiology/en/	WHO | Epidemiology	Epidemiology is the study of the distribution and determinants of health-related states or events (including disease), and the application of this study to the control of diseases and other health problems.	1	0	0	20000000
result	3	epidemiology	organic	https://www.environmentalscience.org/career/epidemiologist	How to Become an Epidemiologist | EnvironmentalScience.org	Epidemiology is the study of the distribution and causes of disease. It aims to solve or control health problems. Epidemiology integrates experiments, risk assessment, statistical analysis, surveys, and interviews to study disease patterns.	1	0	0	20000000
result	4	epidemiology	organic	https://www.cdc.gov/excite/epidemiology.html	What is Epidemiology?| Teacher Roadmap | Career Paths to Public ...	Jun 17, 2016 - Epidemiology is the method used to find the causes of health outcomes and diseases in populations. In epidemiology, the patient is the community and individuals are viewed collectively. By definition, epidemiology is the study (scientific, systematic, and data-driven) of the distribution (frequency, pattern) ...	1	0	0	20000000
sitelink	1	epidemiology	organic	https://www.cdc.gov/ophss/csels/dsepd/ss1978/index.html	Principles of Epidemiology					
sitelink	2	epidemiology	organic	https://www.cdc.gov/careerpaths/k12teacherroadmap/epidemiologists.html	Who are epidemiologists?					
result	5	epidemiology	organic	http://www.bmj.com/about-bmj/resources-readers/publications/epidemiology-uninitiated/1-what-epidemiology	Chapter 1. What is epidemiology? | The BMJ	Like the clinical findings and pathology, the epidemiology of a disease is an integral part of its basic description. The subject has its special techniques of data collection and interpretation, and its necessary jargon for technical terms. This short book aims to provide an ABC of the epidemiological approach, its terminology, ...	1	0	0	20000000
