TYPE	NUMBER	KEYWORD	ORGANIC	URL	TITLE	DESCRIPTION	PAGE	FLAG_HACKED	FLAG_HARMFUL	STAT_RESULTCOUNT
result	1	statistician	organic	https://money.usnews.com/careers/best-jobs/statistician	Statistician jobs, salary, job satisfaction - US News Money	What is a Statistician? Statisticians practice the science of using data to make decisions. They decide what data they need and how to collect it, design experiments, collect data, analyze and interpret the data, and then report conclusions. And unlike most professions, statistics can be applied to a vast number of fields or ...	1	0	0	11500000
result	2	statistician	organic	https://en.wikipedia.org/wiki/Statistician	Statistician - Wikipedia	A statistician is a person who works with theoretical or applied statistics. The profession exists in both the private and public sectors. It is common to combine statistical knowledge with expertise in other subjects, and statisticians may work as employees or as statistical consultants.	1	0	0	11500000
result	3	statistician	organic	https://www.bls.gov/ooh/math/mathematicians-and-statisticians.htm	Mathematicians and Statisticians - Bureau of Labor Statistics	Mathematicians and statisticians analyze data and apply mathematical and statistical techniques to help solve real-world problems in business, engineering, healthcare, or other fields.	1	0	0	11500000
result	4	statistician	organic	https://www.indeed.com/q-Statistician-jobs.html	Statistician Jobs, Employment | Indeed.com	1728 Statistician jobs available on Indeed.com. Data Scientist, Statistician, Analytics Manager and more!	1	0	0	11500000
result	5	statistician	organic	http://www.mastersindatascience.org/careers/statistician/	How to Become a Statistician | Statistician Salary	Statisticians apply statistical theories and methods to collect, analyze and interpret quantitative data. They work for companies involved in market research and public opinion, for industries concerned with areas such as quality control and product development, and – frequently – for local, state and federal governments.	1	0	0	11500000
result	6	statistician	organic	https://www.onetonline.org/link/summary/15-2041.00	15-2041.00 - Statisticians - O*Net	Sample of reported job titles: Assistant Division Chief for Statistical Program Management, Clinical Statistics Manager, Human Resource Statistician, Private Statistical/Psychometric Consultant, Program Research Specialist, Senior Statistician, Statistical Analyst, Statistician, Statistician (Demographer), Trend Investigator.	1	0	0	11500000
result	7	statistician	organic	https://www.princetonreview.com/careers/149/statistician	Statistician Careers | The Princeton Review	A good statistician is involved in survey development and data collection from the beginning, ensuring the validity and usefulness of the data. Statisticians are employed by private and public concerns and apply their skills to specific industry issues, such as economic analysis, inventory control problems, health problems, ...	1	0	0	11500000
result	8	statistician	organic	https://qz.com/1181278/statistician-is-one-of-the-fastest-growing-jobs-for-the-future/	Statistician will be one of the fastest-growing jobs over the next 10 ...	Jan 19, 2018 - Data geeks, rejoice! There has never been a better time to be a statistician. Consider the 10 jobs that the US Bureau of Labor Statistics (BLS) expects to grow fastest from 2016 to 2026, shown in the chart below. This is based on a recently released report and only includes jobs that more than 20000...	1	0	0	11500000
result	9	statistician	organic	https://bigfuture.collegeboard.org/careers/computers-math-statisticians	Become a Statistician - Careers - The College Board	Learn about what a statistician is and what statisticians do. Explore the academic path to this career to see if it's the right one for you.	1	0	0	11500000
result	10	statistician	organic	http://thisisstatistics.org/students/	Students | This is Statistics	Why Study Statistics? Statistician is the coolest job you've never heard of. Don't take our word for it; see for yourself all the great things you can do with a career in statistics. MakeDifferenceIcon Change the World. Statisticians contribute to society in many ways, from protecting endangered species and managing the impacts ...	1	0	0	11500000
result	11	statistician	organic	https://www.prospects.ac.uk/job-profiles/statistician	Statistician job profile | Prospects.ac.uk	Working as statistician means dealing with data and helping to find practical solutions to problems. If you are keen on numbers, IT and like compiling information, this could be the role for you. Statisticians are concerned with the collection, analysis, interpretation and presentation of quantitative information. They work in a ...	1	0	0	11500000
result	12	statistician	organic	https://www.payscale.com/research/US/Job=Statistician/Salary	Statistician Salary - PayScale	As of Mar 2018, the average pay for a Statistician is $71511 annually or $30.04 /hr.	1	0	0	11500000
result	13	statistician	organic	https://www.environmentalscience.org/career/statistician	Statistician - Environmental Science	Regardless of where a statistician works, typical responsibilities may include data acquisition or assessing results from previous studies; they may even be responsible for designing how data is gathered. These professionals will be experts in applying the relevant statistical methodology to complex or big data sets. They will ...	1	0	0	11500000
result	14	statistician	organic	https://www.truity.com/career-profile/statistician	Statistician Career Profile | Job Description, Salary, and Growth | Truity	Statisticians use computers with specialized statistical software to analyze data. In their analyses, statisticians identify trends and relationships within the data. They also conduct tests to find out the data's reliability and validity. Some statisticians may help create new statistical software packages to analyze data more ...	1	0	0	11500000
result	15	statistician	organic	http://thisisstatistics.org/2017-is-the-year-of-the-statistician/	2017 is the Year of the Statistician | This is Statistics	Jan 27, 2017 - Statistician: it's a title sparking business-card-envy across all kinds of industries. According to U.S. News & World Report's 2017 rankings, it's the best job in STEM, it's the best job in business, it's the fourth best job, period. So, what makes a career as a statistician top the charts? U.S. News weighs several ...	1	0	0	11500000
result	16	statistician	organic	http://www.worldofstatistics.org/statistics-as-a-career/what-fields-employ-statisticians/	What Fields Employ Statisticians? - World of Statistics	One advantage of working in statistics is that you can combine your interest with almost any other field in science, technology, or business, such as: Agriculture Animal Population Astronomy Biology Census Chemistry Computer Science Demography Ecology Economics Education Engineering Epidemiology.	1	0	0	11500000
result	17	statistician	organic	https://www.mynextmove.org/profile/summary/15-2041.00	Statisticians at My Next Move	Develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. May specialize in fields such as bio-statistics, agricultural statistics, business statistics, or economic statistics. Includes mathematical and survey statisticians. On the job ...	1	0	0	11500000
result	18	statistician	organic	https://www.nytimes.com/2017/05/19/upshot/the-little-known-statistician-who-transformed-education.html	The Little-Known Statistician Who Taught Us to Measure Teachers ...	May 19, 2017 - Thirty-five years ago, a statistician, William S. Sanders, offered an answer to that puzzle. It relied, unexpectedly, on statistical methods that were developed to understand animal breeding patterns. Mr. Sanders died in March in his home state, Tennessee, at age 74, with his name little known outside ...	1	0	0	11500000
