TYPE	NUMBER	KEYWORD	ORGANIC	URL	TITLE	DESCRIPTION	PAGE	FLAG_HACKED	FLAG_HARMFUL	STAT_RESULTCOUNT
result	1	statistics	organic	https://en.wikipedia.org/wiki/Statistics	Statistics - Wikipedia	Statistics is a branch of mathematics dealing with the collection, analysis, interpretation, presentation, and organization of data.	1	0	0	620000000
sitelink	1	statistics	organic	https://en.wikipedia.org/wiki/Glossary_of_probability_and_statistics	Glossary of probability and ...					
sitelink	2	statistics	organic	https://en.wikipedia.org/wiki/Descriptive_statistics	Descriptive statistics					
sitelink	3	statistics	organic	https://en.wikipedia.org/wiki/Statistical_population	Statistical population					
sitelink	4	statistics	organic	https://en.wikipedia.org/wiki/Blocking_(statistics)	Blocking					
result	2	statistics	organic	https://www.khanacademy.org/math/statistics-probability	Statistics and Probability | Khan Academy	A sampling distribution shows every possible result a statistic can take in every possible sample from a population and how often each result happens. This topic covers how sample proportions and sample means behave in repeated samples.	1	0	0	620000000
sitelink	1	statistics	organic	https://www.khanacademy.org/math/statistics-probability/probability-library	Statistics and probability | Math					
sitelink	2	statistics	organic	https://www.khanacademy.org/math/statistics-probability/analyzing-categorical-data	Analyzing categorical data 0 of ...					
sitelink	3	statistics	organic	https://www.khanacademy.org/math/statistics-probability/designing-studies	Study design					
result	3	statistics	organic	https://www.khanacademy.org/math/ap-statistics	AP®   Statistics | Math | Khan Academy	This unit on probability covers how to use simulations to calculate experimental probabilities and a variety of other methods (the addition rule, the multiplication rule, conditional probability) for calculating probability. Later, we'll use our understanding of probability to answer statistical questions.	1	0	0	620000000
result	4	statistics	organic	https://www.statistics.com/	Statistics.com: Home	Online data science & analytics: 90+ courses and certificates. Since 2002, pioneer in online statistics education.	1	0	0	620000000
result	5	statistics	organic	https://www.coursera.org/courses?languages=en&query=statistics	Statistics Courses | Coursera	Learn Statistics online from 279 Statistics courses from top institutions like University of Amsterdam and Duke University. Build career skills in Data Science, Business, and more.	1	0	0	620000000
result	6	statistics	organic	https://www.udacity.com/course/statistics--st095	Elementary Statistics Course Online | Udacity	College level intro to statistics class online. Learn about the different methods to describe data and run statistical analysis.	1	0	0	620000000
result	7	statistics	organic	http://www.amstat.org/asa/what-is-statistics.aspx	What is Statistics? - American Statistical Association	Doing Statistics · Statistics History · We are statistics! Haiku Contest · Learn more about statistics. Count Bayesie · FiveThirtyEight · FlowingData · Gapminder · Sense About Science USA · Simply Statistics · Statistical Modeling, Causal Inference, and Social Science · STATS.org · STATtr@k. Biopharmaceutical Section Podcast	1	0	0	620000000
result	8	statistics	organic	http://www.dictionary.com/browse/statistics	Statistics | Define Statistics at Dictionary.com	Statistics definition, (used with a singular verb) the science that deals with the collection, classification, analysis, and interpretation of numerical facts or data, and that, by use of mathematical theories of probability, imposes order and regularity on aggregates of more or less disparate elements. See more.	1	0	0	620000000
result	9	statistics	organic	https://writingcenter.unc.edu/tips-and-tools/statistics/	Statistics - The Writing Center	Apparently freed of all the squishiness and ambiguity of words, numbers and statistics are powerful pieces of evidence that can effectively strengthen any argument. But statistics are not a panacea. As simple and straightforward as these little numbers promise to be, statistics, if not used carefully, can create more problems ...	1	0	0	620000000
result	10	statistics	organic	https://statistics.berkeley.edu/	Statistics at UC Berkeley | Department of Statistics	Statistics at UC Berkeley: We are a community engaged in research and education in probability and statistics. In addition to developing fundamental theory and methodology, we are actively involved in statistical problems that arise in such diverse fields as molecular biology, geophysics, astronomy, AIDS research, ...	1	0	0	620000000
result	11	statistics	organic	http://statistics.ucr.edu/	Statistics: Home	The Department of Statistics has a reputation for outstanding teaching, research, and consulting services. The undergraduate program offers B.A. and B.S. degrees with two options in Statistical Computing and Quantitative Management, while the graduate program offers both an M.S. in Statistics and a Ph.D. in Applied ...	1	0	0	620000000
