TYPE	NUMBER	KEYWORD	ORGANIC	URL	TITLE	DESCRIPTION	PAGE	FLAG_HACKED	FLAG_HARMFUL	STAT_RESULTCOUNT
result	1	statistics	organic	https://en.wikipedia.org/wiki/Statistics	Statistics - Wikipedia	Statistics is a branch of mathematics dealing with the collection, analysis, interpretation, presentation, and organization of data.	1	0	0	1430000000
sitelink	1	statistics	organic	https://en.wikipedia.org/wiki/Glossary_of_probability_and_statistics	Glossary of probability and ...					
sitelink	2	statistics	organic	https://en.wikipedia.org/wiki/Descriptive_statistics	Descriptive statistics					
sitelink	3	statistics	organic	https://en.wikipedia.org/wiki/Statistical_population	Statistical population					
sitelink	4	statistics	organic	https://en.wikipedia.org/wiki/Blocking_(statistics)	Blocking					
result	2	statistics	organic	https://www.khanacademy.org/math/statistics-probability	Statistics and Probability | Khan Academy	A sampling distribution shows every possible result a statistic can take in every possible sample from a population and how often each result happens. This topic covers how sample proportions and sample means behave in repeated samples.	1	0	0	1430000000
sitelink	1	statistics	organic	https://www.khanacademy.org/math/statistics-probability/probability-library	Statistics and probability | Math					
sitelink	2	statistics	organic	https://www.khanacademy.org/math/statistics-probability/displaying-describing-data	Displaying and comparing ...					
sitelink	3	statistics	organic	https://www.khanacademy.org/math/statistics-probability/designing-studies	Study design					
result	3	statistics	organic	https://www.statistics.com/	Statistics.com: Home	Online data science & analytics: 90+ courses and certificates. Since 2002, pioneer in online statistics education.	1	0	0	1430000000
result	4	statistics	organic	https://www.udacity.com/course/statistics--st095	Elementary Statistics Course Online | Udacity	College level intro to statistics class online. Learn about the different methods to describe data and run statistical analysis.	1	0	0	1430000000
result	5	statistics	organic	http://www.dictionary.com/browse/statistics	Statistics | Define Statistics at Dictionary.com	statistics definition. The branch of mathematics dealing with numerical data. (See mean, median, mode, normal distribution curve, sample, standard deviation, and statistical significance.) Note: A particular problem of statistics is estimating true values of parameters from a sample of data.	1	0	0	1430000000
result	6	statistics	organic	http://www.amstat.org/asa/what-is-statistics.aspx	What is Statistics? - American Statistical Association	Doing Statistics · Statistics History · We are statistics! Haiku Contest · Learn more about statistics. Count Bayesie · FiveThirtyEight · FlowingData · Gapminder · Sense About Science USA · Simply Statistics · Statistical Modeling, Causal Inference, and Social Science · STATS.org · STATtr@k. Biopharmaceutical Section Podcast	1	0	0	1430000000
result	7	statistics	organic	https://writingcenter.unc.edu/tips-and-tools/statistics/	Statistics - The Writing Center	Apparently freed of all the squishiness and ambiguity of words, numbers and statistics are powerful pieces of evidence that can effectively strengthen any argument. But statistics are not a panacea. As simple and straightforward as these little numbers promise to be, statistics, if not used carefully, can create more problems ...	1	0	0	1430000000
result	8	statistics	organic	https://statistics.berkeley.edu/	Statistics at UC Berkeley | Department of Statistics	Statistics at UC Berkeley: We are a community engaged in research and education in probability and statistics. In addition to developing fundamental theory and methodology, we are actively involved in statistical problems that arise in such diverse fields as molecular biology, geophysics, astronomy, AIDS research, ...	1	0	0	1430000000
result	9	statistics	organic	https://www.point2homes.com/US/Neighborhood/VA/Ashburn-Demographics.html	Ashburn Demographics & Statistics — Employment, Education ...	Ashburn is an area in Ashburn, Loudoun County, Northern Virginia, Virginia with a population of 88,754. There are 43,288 male residents living in Ashburn and 45,467 female residents. The total number of households is 30,126 with 3.02 people per household on average. Total household expenditures in Ashburn are ...	1	0	0	1430000000
result	10	statistics	organic	https://www.youtube.com/watch?v=LMSyiAJm99g	Introduction to Statistics - YouTube	This video is about an Introduction to Statistics. "On Your Own" ANSWERS 1a) Yes, it is a statistical ...	1	0	0	1430000000
result	11	statistics	organic	https://www.neighborhoodscout.com/va/ashburn/demographics	Ashburn, VA Demographics and Population Statistics ...	Full demographic report of Ashburn, VA population including education levels, household income, job market, ethnic makeup, and languages.	1	0	0	1430000000
result	12	statistics	organic	https://www.neighborhoodscout.com/va/ashburn/crime	Ashburn, VA Crime Rates and Statistics - NeighborhoodScout	Exclusive crime heat map and statistics for neighborhoods within Ashburn, VA. Crime forecast reports available by address.	1	0	0	1430000000
result	13	statistics	organic	http://stat.psu.edu/	Penn State Department of Statistics — Penn State Eberly College of ...	The Statistics Department is currently seeking to fill the following positions: Tenure-track Data Ethics Faculty; Bruce Lindsay Visiting Assistant Professor Program; Assistant Director of Online Programs; Teaching Faculty - Lecturer. For more information on these positions or to apply, please read: http://stat.psu.edu/jobs ...	1	0	0	1430000000
result	14	statistics	organic	https://en.wikibooks.org/wiki/Statistics	Statistics - Wikibooks, open books for an open world	Statistics - Area of applied mathematics concerned with the data collection, analysis, interpretation and presentation. Statistics is used in almost every field of research: the discovery of the Higgs particle, social sciences, climate research,... With this, and with its well established foundations, it is very well suited for a wikibook.	1	0	0	1430000000
result	15	statistics	organic	http://www.stat.uga.edu/	The Department of Statistics | Department of Statistics	The Department was originally formed in 1964 as the Department of Statistics and Computer Science and remained such until 1984. We have retained that strong emphasis on computing, and we have maintained a three-fold mission of teaching, research, and service. Our teaching has provided students with a broad ...	1	0	0	1430000000
result	16	statistics	organic	https://arxiv.org/archive/stat	Statistics - arXiv	Design, Surveys, Model Selection, Multiple Testing, Multivariate Methods, Signal and Image Processing, Time Series, Smoothing, Spatial Statistics, Survival Analysis, Nonparametric and Semiparametric Methods. stat.OT - Other Statistics (new, recent, current month). Work in statistics that does not fit into the other stat ...	1	0	0	1430000000
result	17	statistics	organic	https://statistics.stanford.edu/	Department of Statistics: Home	Education in the Statistics discipline acquaints students with the role played by probabilistic and statistical ideas and methods in the many fields of science, medicine, technology, and even the humanities. We provide instruction in the theory and application of techniques that have been found to be commonly useful, and ...	1	0	0	1430000000
result	18	statistics	organic	https://statistics.rice.edu/	Home | Statistics	Statistics Department | George R. Brown School of Engineering | Rice University.	1	0	0	1430000000
result	19	statistics	organic	http://thisisstatistics.org/	This is Statistics | Statistics Jobs Around the World	The American Statistical Association created the This is Statistics website and campaign to raise awareness of the many interesting careers in statistics.	1	0	0	1430000000
result	20	statistics	organic	https://statistics.fas.harvard.edu/	Department of Statistics	The Faculty of the Department of Statistics is delighted to report that Professor Tracy Ke will be joining us as an Assistant Professor of Statistics from 1 July 2018. Tracy is currently an Assistant Professor at the University of Chicago. Tracy works on high dimensional statistics, sparse inference, genetics & genomics, fMRI, ...	1	0	0	1430000000
result	21	statistics	organic	https://stat.cornell.edu/	Cornell University Department of Statistical Science	Each year our graduates go on to opportunities with companies around the world. See what possibilities are in store here. Alumni Profiles · Career Resources. The Department of Statistical Science at Cornell University is hiring!! We invite applications for tenured, tenure-track, and lecturer positions. Find out more here.	1	0	0	1430000000
result	22	statistics	organic	https://en.wiktionary.org/wiki/statistics	statistics - Wiktionary	Etymology 1[edit]. From German Statistik, from New Latin statisticum (“of the state”) and Italian statista (“statesman, politician”). Statistik introduced by Gottfried Achenwall (1749), originally designated the analysis of data about the state. Noun[edit]. statistics (uncountable). A mathematical science concerned with data ...	1	0	0	1430000000
result	23	statistics	organic	http://asq.org/statistics	ASQ Statistics Division	Welcome. The ASQ Statistics Division supports members in fulfilling their professional needs and aspirations in the application of statistics, and development of techniques to improve quality and performance. Please use the links on the left to access a variety of content available to you or to learn more about getting involved ...	1	0	0	1430000000
result	24	statistics	organic	https://www.ted.com/topics/statistics	Ideas about Statistics - TED Talks	A collection of TED Talks (and more) on the topic of statistics.	1	0	0	1430000000
result	25	statistics	organic	http://www.oecd.org/sdd/	Statistics and Data Directorate - OECD	Our working methods. OECD statistical programme of work · Quality framework for statistical activities · Statistical Data and Metadata eXchange (SDMX) · Statistical Information System (SIS) ...	1	0	0	1430000000
result	26	statistics	organic	https://docs.microsoft.com/en-us/sql/relational-databases/statistics/statistics	Statistics | Microsoft Docs	Dec 18, 2017 - The Query Optimizer uses statistics to create query plans that improve query performance. For most queries, the Query Optimizer already generates the necessary statistics for a high quality query plan; in some cases, you need to create additional statistics or modify the query design for best results.	1	0	0	1430000000
result	27	statistics	organic	http://www.itu.int/en/ITU-D/Statistics/Pages/stat/default.aspx	Statistics - ITU	Jan 4, 2018 - ICT Eye. Visit the ICT Eye, the one stop-shop for ICT information that provides telecommunication/ICT indicators and statistics, regulatory and policy profiles and more.​. ABOUT US; FAQs; CONTACT ...	1	0	0	1430000000
result	28	statistics	organic	http://stat.columbia.edu/	Department of Statistics - Columbia University	... Award from the National Council on Measurement in Education · Yunxiao Chen is the recipient of the 2018 Brenda Loyd Outstanding Dissertation Award from the National Council on Measurement in Education for his Columbia PhD thesis. Yunxiao Chen completed his Ph.D. in Statistics at Columbia University (2016).	1	0	0	1430000000
result	29	statistics	organic	https://www.stat.wisc.edu/	Department of Statistics: Home	The Statistics Department at the University of Wisconsin-Madison was established in 1960 by Professor George Box. The original philosophy on the organizational structure was to have most Statistics faculty in one central department but also to have faculty with interests in applications of statistics to a wide variety of ...	1	0	0	1430000000
result	30	statistics	organic	http://statistics.ucla.edu/	UCLA Statistics | Website	UCLA (University of California, Los Angeles) is the largest UC campus in terms of enrollment, and one of the few public research universities located in a major city.	1	0	0	1430000000
result	31	statistics	organic	http://www.stat.cmu.edu/	CMU Statistics	Homepage for the Department of Statistics at Carnegie Mellon University.	1	0	0	1430000000
result	32	statistics	organic	https://www.coursera.org/courses?languages=en&query=statistics	Statistics Courses | Coursera	Learn Statistics online from 279 Statistics courses from top institutions like University of Amsterdam and Duke University. Build career skills in Data Science, Business, and more.	1	0	0	1430000000
result	33	statistics	organic	https://www.stat.washington.edu/	Home | University of Washington Department of Statistics	JSM Best Student Paper Award. Congratulations to Alex Tank for winning a JSM Best Student Paper Award from the Business and Economic Statistics Section (B&E) of the American Statistical Association for his paper “Granger… more ...	1	0	0	1430000000
result	34	statistics	organic	http://www.statsoft.com/Textbook	Big Data, Data Mining, Predictive Analytics, Statistics, StatSoft ...	StatSoft Electronic Statistics Textbook is free and provided as a service to the public.	1	0	0	1430000000
